branch_id,avg_revenue,total_revenue,total_profit,margin,growth,volatility,food_share,beverage_share
ain el mreisseh,9689319.763076922,125961156.91999999,90205730.34912442,0.7161392651102401,-0.4981008430749617,0.28991299893057004,0.39187526387280996,0.6081247361271901
airport,3393297.4015384614,44112866.22,31700493.522642083,0.7186223938509267,0.0,1.0384268114878734,0.35694586164430914,0.643054138355691
alay,2513078.016923077,32670014.220000003,23162659.334333763,0.7089883456541012,0.0,1.1123133812551738,0.3883241625303571,0.6116758374696428
amioun,904568.1246153845,11759385.62,8270668.585928741,0.7033248890028951,0.0,1.6048692514317349,0.46563550230608797,0.5343644976939121
antelias,2466047.9646153846,32058623.54,22463155.15129411,0.7006899445719031,-0.45356490856277915,0.3059573463738015,0.4985957689952847,0.5014042310047154
batroun,4377912.816923076,56912866.62,40469229.46133166,0.7110734683518857,-0.3344918371631225,0.3369574612280901,0.3727216064042505,0.6272783935957497
bayada,4256301.622307693,55331921.09,39301497.300905906,0.710286151767262,-0.4022331711877716,0.30570485965112537,0.437831555866552,0.5621684441334479
bir hasan,2780757.1907692305,36149843.48,25906514.148737896,0.7166424984127732,-0.465799570071309,0.31161105481107737,0.40721916490488785,0.5927808350951121
centro mall,3059834.153846154,39777844.0,28451213.799718183,0.7152527874491685,-0.31502426106337234,0.3261816941830554,0.3887852232521395,0.6112147767478604
event starco,48835.52846153847,634861.8700000001,482296.1324746743,0.7596867212621766,0.0,3.315600929635175,0.2183660591165979,0.781633940883402
faqra,844414.8853846154,10977393.51,8026516.823191843,0.7311860339050416,-1.0,1.0294848044414655,0.38463241219168365,0.6153675878083162
jbeil,2411675.7415384618,31351784.64,22816664.122604378,0.7277628493752111,0.0,1.5070525126428111,0.47640319841197587,0.523596801588024
kaslik,296562.0707692308,3855306.92,2699726.528044292,0.7002624133604107,0.0,1.9382295558765075,0.4566247485541208,0.5433752514458793
khaldeh,6831771.1930769235,88813025.51,62952636.415364414,0.7088221131288471,-0.37636359660451785,0.32117212242470217,0.3929106800147085,0.6070893199852913
lau,1290687.3892307694,16778936.060000002,11810700.519237364,0.7039004426146769,-0.5986677349526407,0.46470917574523707,0.49684773116122194,0.5031522688387781
le mall,3831718.833076922,49812344.82999999,35038671.59547701,0.7034134151896944,-0.2419951404465069,0.3177155001223837,0.5118522833684342,0.48814771663156586
mansourieh,2291328.903846154,29787275.750000004,21013115.48184756,0.705439317721009,0.0,1.1666906704406528,0.5086788937942263,0.4913211062057737
ramlet el bayda,4615282.7315384615,59998675.51,43382912.42613983,0.723064501964034,0.0,0.5344486992615697,0.40199282197626185,0.5980071780237382
raouche,496391.31692307687,6453087.119999999,4564105.632131076,0.7072747581518901,0.0,1.9594529244529972,0.3768288439138236,0.6231711560861763
saida,4418410.280769231,57439333.65,40494955.90029664,0.705003928963522,-0.6650237467517889,0.3813896781681357,0.46219027608996377,0.5378097239100362
sin el fil,981090.9700000001,12754182.610000001,8890148.267954824,0.6970378690504592,0.0,1.6119466446486808,0.4963656172048977,0.5036343827951022
sour 2,1990507.400769231,25876596.21,18954818.60436838,0.7325081881149151,0.0,1.0338620036010977,0.4297859485229255,0.5702140514770746
verdun,2015859.9846153844,26206179.799999997,18946178.374253396,0.7229660530014909,-0.3879871087841633,0.46972526611694,0.4129341886335249,0.5870658113664753
zalka,8747822.890000002,113721697.57000002,80173591.13592088,0.7049981916297986,-0.4494688833421905,0.28656994733536423,0.45273979091272065,0.5472602090872791
